timestamp,memory_used_MiB,memory_total_MiB,util_gpu_pct
22:15:29.885,1140, 4096, 2
22:15:30.148,1140, 4096, 2
22:15:30.416,1140, 4096, 2
22:15:30.681,1140, 4096, 2
22:15:30.945,1140, 4096, 2
22:15:31.194,1140, 4096, 2
22:15:31.457,1140, 4096, 2
22:15:31.722,1140, 4096, 2
22:15:31.987,1140, 4096, 2
22:15:32.253,1140, 4096, 2
22:15:32.517,1140, 4096, 2
22:15:32.783,1140, 4096, 2
22:15:33.033,1140, 4096, 2
22:15:33.283,1140, 4096, 2
22:15:33.549,1140, 4096, 2
22:15:33.814,1140, 4096, 2
22:15:34.126,1140, 4096, 2
22:15:34.392,1140, 4096, 2
22:15:34.640,1140, 4096, 2
22:15:34.908,1140, 4096, 2
22:15:35.174,1140, 4096, 2
22:15:35.436,1140, 4096, 2
22:15:35.687,1140, 4096, 2
22:15:35.935,1140, 4096, 2
22:15:36.181,1140, 4096, 2
22:15:36.446,1140, 4096, 2
22:15:36.711,1140, 4096, 2
22:15:36.956,1140, 4096, 2
22:15:37.205,1140, 4096, 2
22:15:37.471,1140, 4096, 2
22:15:37.736,1140, 4096, 2
22:15:37.983,1140, 4096, 2
22:15:38.236,1140, 4096, 2
22:15:38.497,1140, 4096, 2
22:15:38.760,1140, 4096, 2
22:15:39.025,1140, 4096, 2
22:15:39.275,1140, 4096, 2
22:15:39.541,1140, 4096, 2
22:15:39.805,1140, 4096, 3
22:15:40.056,1140, 4096, 3
22:15:40.320,1140, 4096, 3
22:15:40.569,1140, 4096, 3
22:15:40.820,1140, 4096, 2
22:15:41.084,1140, 4096, 2
22:15:41.349,1140, 4096, 2
22:15:41.614,1140, 4096, 2
22:15:41.880,1140, 4096, 2
22:15:42.130,1140, 4096, 2
22:15:42.381,1140, 4096, 2
22:15:42.644,1140, 4096, 2
22:15:42.892,1140, 4096, 2
22:15:43.152,1140, 4096, 2
22:15:43.417,1140, 4096, 2
22:15:43.666,1140, 4096, 2
22:15:43.920,1140, 4096, 2
22:15:44.183,1140, 4096, 2
22:15:44.449,1140, 4096, 2
22:15:44.710,1140, 4096, 2
22:15:44.959,1140, 4096, 2
22:15:45.207,1140, 4096, 2
22:15:45.472,1140, 4096, 2
22:15:45.721,1140, 4096, 2
22:15:45.972,1140, 4096, 2
22:15:46.240,1140, 4096, 2
22:15:46.487,1140, 4096, 2
22:15:46.736,1140, 4096, 2
22:15:46.983,1140, 4096, 2
22:15:47.250,1140, 4096, 2
22:15:47.515,1140, 4096, 2
22:15:47.778,1140, 4096, 2
22:15:48.045,1140, 4096, 2
22:15:48.291,1140, 4096, 2
22:15:48.557,1140, 4096, 2
22:15:48.822,1140, 4096, 2
22:15:49.086,1140, 4096, 2
22:15:49.348,1140, 4096, 2
22:15:49.613,1140, 4096, 2
22:15:49.879,1140, 4096, 2
22:15:50.129,1140, 4096, 2
22:15:50.379,1140, 4096, 2
22:15:50.647,1140, 4096, 2
22:15:50.910,1140, 4096, 2
22:15:51.176,1140, 4096, 2
22:15:51.439,1140, 4096, 2
22:15:51.705,1140, 4096, 2
22:15:51.952,1140, 4096, 2
22:15:52.217,1140, 4096, 2
22:15:52.482,1140, 4096, 2
22:15:52.729,1140, 4096, 2
22:15:52.995,1140, 4096, 2
22:15:53.258,1140, 4096, 2
22:15:53.522,1140, 4096, 2
22:15:53.787,1140, 4096, 2
22:15:54.035,1140, 4096, 3
22:15:54.300,1140, 4096, 3
22:15:54.566,1140, 4096, 3
22:15:54.827,1140, 4096, 3
22:15:55.095,1142, 4096, 2
22:15:55.360,1140, 4096, 2
22:15:55.610,1140, 4096, 2
22:15:55.876,1140, 4096, 2
22:15:56.129,1140, 4096, 2
22:15:56.392,1140, 4096, 2
22:15:56.642,1140, 4096, 2
22:15:56.907,1140, 4096, 3
22:15:57.172,1140, 4096, 3
22:15:57.419,1140, 4096, 3
22:15:57.688,1140, 4096, 3
22:15:57.937,1140, 4096, 2
22:15:58.187,1140, 4096, 2
22:15:58.439,1140, 4096, 2
22:15:58.687,1140, 4096, 2
22:15:58.956,1140, 4096, 2
22:15:59.222,1140, 4096, 2
22:15:59.487,1140, 4096, 2
22:15:59.740,1140, 4096, 2
22:16:00.003,1140, 4096, 2
22:16:00.270,1140, 4096, 2
22:16:00.534,1140, 4096, 2
22:16:00.786,1140, 4096, 2
22:16:01.052,1140, 4096, 3
22:16:01.299,1140, 4096, 3
22:16:01.564,1140, 4096, 3
22:16:01.831,1140, 4096, 3
